municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,desnutricion moderada (m),2005-01-01,9,10,7,11,16,21,37
ACHACACHI,desnutricion global,desnutricion moderada (m),2005-01-01,5,5,7,12,12,17,29
ACHOCALLA,desnutricion global,desnutricion moderada (m),2005-01-01,6,10,4,3,10,13,23
AIQUILE,desnutricion global,desnutricion moderada (m),2005-01-01,11,2,7,5,18,7,25
ALCALA,desnutricion global,desnutricion moderada (m),2005-01-01,8,4,8,7,16,11,27
ANCORAIMES,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,2,8,9,13,22
ANDAMARCA,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
ANTEQUERA,desnutricion global,desnutricion moderada (m),2005-01-01,3,2,2,1,5,3,8
ANZALDO,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,1,2,3,5,8
APOLO,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,4,7,11,12,23
ARAMPAMPA,desnutricion global,desnutricion moderada (m),2005-01-01,3,1,0,2,3,3,6
ARANI,desnutricion global,desnutricion moderada (m),2005-01-01,2,6,2,0,4,6,10
ARBIETO,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,1,1,1,2
ARQUE,desnutricion global,desnutricion moderada (m),2005-01-01,7,7,5,7,12,14,26
ATOCHA,desnutricion global,desnutricion moderada (m),2005-01-01,6,6,6,13,12,19,31
AUCAPATA,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,4,3,4,4,8
AYATA,desnutricion global,desnutricion moderada (m),2005-01-01,8,3,4,0,12,3,15
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion moderada (m),2005-01-01,9,18,5,13,14,31,45
AZURDUY,desnutricion global,desnutricion moderada (m),2005-01-01,10,20,13,18,23,38,61
BATALLAS,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,1,0,3,3,6
BAURES,desnutricion global,desnutricion moderada (m),2005-01-01,4,0,1,0,5,0,5
BELEN DE URMIRI,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,0,1,1,2
BERMEJO,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,0,1,0,1
BETANZOS,desnutricion global,desnutricion moderada (m),2005-01-01,31,29,29,24,60,53,113
BOLIVAR,desnutricion global,desnutricion moderada (m),2005-01-01,10,9,24,19,34,28,62
BOYUIBE,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,4,1,4,5
BUENA VISTA,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,1,1,1,2
CABEZAS,desnutricion global,desnutricion moderada (m),2005-01-01,6,6,2,1,8,7,15
CAIROMA,desnutricion global,desnutricion moderada (m),2005-01-01,11,8,13,10,24,18,42
"CAIZA ""D""",desnutricion global,desnutricion moderada (m),2005-01-01,4,1,10,5,14,6,20
CAJUATA,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,7,1,9,2,11
CALAMARCA,desnutricion global,desnutricion moderada (m),2005-01-01,22,14,20,21,42,35,77
CAMARGO,desnutricion global,desnutricion moderada (m),2005-01-01,7,10,9,7,16,17,33
CAMATAQUI (C. VILLA ABECIA),desnutricion global,desnutricion moderada (m),2005-01-01,3,1,0,1,3,2,5
CAMIRI,desnutricion global,desnutricion moderada (m),2005-01-01,11,25,14,26,25,51,76
CAPINOTA,desnutricion global,desnutricion moderada (m),2005-01-01,14,4,0,9,14,13,27
CAQUIAVIRI,desnutricion global,desnutricion moderada (m),2005-01-01,0,3,2,1,2,4,6
CARACOLLO,desnutricion global,desnutricion moderada (m),2005-01-01,10,6,0,4,10,10,20
CARANAVI,desnutricion global,desnutricion moderada (m),2005-01-01,10,18,10,14,20,32,52
CARAPARI,desnutricion global,desnutricion moderada (m),2005-01-01,2,4,4,0,6,4,10
CHALLAPATA,desnutricion global,desnutricion moderada (m),2005-01-01,7,8,6,8,13,16,29
CHAQUI,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,4,0,5,1,6
CHARAGUA,desnutricion global,desnutricion moderada (m),2005-01-01,16,17,7,13,23,30,53
CHARAÑA,desnutricion global,desnutricion moderada (m),2005-01-01,1,2,1,1,2,3,5
CHAYANTA,desnutricion global,desnutricion moderada (m),2005-01-01,13,3,1,15,14,18,32
CHIMORE,desnutricion global,desnutricion moderada (m),2005-01-01,4,0,1,4,5,4,9
CHOQUE COTA,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),desnutricion global,desnutricion moderada (m),2005-01-01,0,2,0,0,0,2,2
CHUMA,desnutricion global,desnutricion moderada (m),2005-01-01,6,6,3,1,9,7,16
CLIZA,desnutricion global,desnutricion moderada (m),2005-01-01,11,9,3,5,14,14,28
COBIJA,desnutricion global,desnutricion moderada (m),2005-01-01,4,5,5,4,9,9,18
COCHABAMBA,desnutricion global,desnutricion moderada (m),2005-01-01,67,57,25,25,92,82,174
COIPASA,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,1,0,2,0,2
COLCAPIRHUA,desnutricion global,desnutricion moderada (m),2005-01-01,7,9,2,6,9,15,24
"COLCHA ""K""",desnutricion global,desnutricion moderada (m),2005-01-01,1,0,1,1,2,1,3
COLLANA,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
COLOMI,desnutricion global,desnutricion moderada (m),2005-01-01,3,7,2,3,5,10,15
COLPA BELGICA,desnutricion global,desnutricion moderada (m),2005-01-01,1,3,0,2,1,5,6
COLQUECHACA,desnutricion global,desnutricion moderada (m),2005-01-01,13,10,4,5,17,15,32
COLQUENCHA,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,1,2,3,4,7
COLQUIRI,desnutricion global,desnutricion moderada (m),2005-01-01,12,5,12,11,24,16,40
COMARAPA,desnutricion global,desnutricion moderada (m),2005-01-01,8,10,7,6,15,16,31
CONCEPCION,desnutricion global,desnutricion moderada (m),2005-01-01,6,0,0,0,6,0,6
COPACABANA,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,2,2,4,2,6
CORO CORO,desnutricion global,desnutricion moderada (m),2005-01-01,2,5,4,8,6,13,19
COROICO,desnutricion global,desnutricion moderada (m),2005-01-01,3,2,2,2,5,4,9
CORQUE,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,0,0,7,5,12
COTAGAITA,desnutricion global,desnutricion moderada (m),2005-01-01,30,13,21,28,51,41,92
COTOCA,desnutricion global,desnutricion moderada (m),2005-01-01,9,9,4,7,13,16,29
CUATRO CAÑADAS,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,1,0,3,0,3
CUEVO,desnutricion global,desnutricion moderada (m),2005-01-01,4,3,2,4,6,7,13
CULPINA,desnutricion global,desnutricion moderada (m),2005-01-01,24,19,16,23,40,42,82
CURAHUARA DE CARANGAS,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
CURVA,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,0,0,2,0,2
DESAGUADERO,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,0,0,2,0,2
EL ALTO,desnutricion global,desnutricion moderada (m),2005-01-01,192,178,83,85,275,263,538
EL CHORO,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,1,1,1,2
EL PUENTE(TJA),desnutricion global,desnutricion moderada (m),2005-01-01,5,3,5,10,10,13,23
EL TORNO,desnutricion global,desnutricion moderada (m),2005-01-01,4,4,5,8,9,12,21
EL VILLAR,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,4,13,6,15,21
ENTRE RIOS,desnutricion global,desnutricion moderada (m),2005-01-01,13,18,7,16,20,34,54
ENTRE RIOS,desnutricion global,desnutricion moderada (m),2005-01-01,11,3,1,1,12,4,16
EUCALIPTUS,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,1,1,3,2,5
EXALTACION,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,1,1,2,3
FERNANDEZ ALONSO,desnutricion global,desnutricion moderada (m),2005-01-01,2,6,2,3,4,9,13
FILADELFIA,desnutricion global,desnutricion moderada (m),2005-01-01,1,2,1,1,2,3,5
GENERAL SAAVEDRA,desnutricion global,desnutricion moderada (m),2005-01-01,11,0,9,0,20,0,20
GRAL. J.J. PEREZ (CHARAZANI),desnutricion global,desnutricion moderada (m),2005-01-01,1,3,3,2,4,5,9
GUANAY,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,0,0,2,3,5
GUAQUI,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
GUTIERREZ,desnutricion global,desnutricion moderada (m),2005-01-01,25,19,24,31,49,50,99
HUACARETA,desnutricion global,desnutricion moderada (m),2005-01-01,8,5,5,3,13,8,21
HUACAYA (VILLA DE HUACAYA),desnutricion global,desnutricion moderada (m),2005-01-01,0,2,4,2,4,4,8
HUANUNI,desnutricion global,desnutricion moderada (m),2005-01-01,15,6,3,5,18,11,29
HUARACAJE,desnutricion global,desnutricion moderada (m),2005-01-01,0,2,0,1,0,3,3
HUAYLLAMARCA,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
ICHOCA,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,2,2,2,2,4
ICLA,desnutricion global,desnutricion moderada (m),2005-01-01,29,21,28,30,57,51,108
INCAHUASI,desnutricion global,desnutricion moderada (m),2005-01-01,25,35,12,23,37,58,95
INQUISIVI,desnutricion global,desnutricion moderada (m),2005-01-01,10,6,2,7,12,13,25
IRUPANA (VILLA DE LANZA),desnutricion global,desnutricion moderada (m),2005-01-01,1,1,2,2,3,3,6
IXIAMAS,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,2,5,4,8,12
JESUS DE MACHACA,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,0,2,1,3
LA ASUNTA,desnutricion global,desnutricion moderada (m),2005-01-01,9,14,4,14,13,28,41
LA GUARDIA,desnutricion global,desnutricion moderada (m),2005-01-01,14,7,9,10,23,17,40
LA PAZ,desnutricion global,desnutricion moderada (m),2005-01-01,114,104,48,65,162,169,331
LAGUNILLAS,desnutricion global,desnutricion moderada (m),2005-01-01,3,1,2,6,5,7,12
LAJA,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,0,1,2,4,6
LAS CARRERAS,desnutricion global,desnutricion moderada (m),2005-01-01,1,3,0,2,1,5,6
LLALLAGUA,desnutricion global,desnutricion moderada (m),2005-01-01,19,11,13,9,32,20,52
LURIBAY,desnutricion global,desnutricion moderada (m),2005-01-01,1,2,3,5,4,7,11
MACHARETI,desnutricion global,desnutricion moderada (m),2005-01-01,4,5,6,3,10,8,18
MAGDALENA,desnutricion global,desnutricion moderada (m),2005-01-01,12,3,0,1,12,4,16
MAIRANA,desnutricion global,desnutricion moderada (m),2005-01-01,3,0,0,0,3,0,3
MALLA,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,0,0,2,0,2
MAPIRI,desnutricion global,desnutricion moderada (m),2005-01-01,6,3,2,3,8,6,14
MECAPACA,desnutricion global,desnutricion moderada (m),2005-01-01,6,11,6,10,12,21,33
MINEROS,desnutricion global,desnutricion moderada (m),2005-01-01,19,15,2,1,21,16,37
MIZQUE,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,2,7,4,9,13
MOCOMOCO,desnutricion global,desnutricion moderada (m),2005-01-01,4,3,2,1,6,4,10
MOJINETE,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,1,0,2,0,2
MOJOCOYA,desnutricion global,desnutricion moderada (m),2005-01-01,5,7,7,1,12,8,20
MONTEAGUDO,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,13,25,20,30,50
MONTERO,desnutricion global,desnutricion moderada (m),2005-01-01,102,14,48,5,150,19,169
MORO MORO,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,1,2,2,4
MOROCHATA,desnutricion global,desnutricion moderada (m),2005-01-01,8,6,2,2,10,8,18
OCURI,desnutricion global,desnutricion moderada (m),2005-01-01,25,19,10,13,35,32,67
OKINAWA,desnutricion global,desnutricion moderada (m),2005-01-01,3,4,1,1,4,5,9
ORURO,desnutricion global,desnutricion moderada (m),2005-01-01,84,79,42,46,126,125,251
PADCAYA,desnutricion global,desnutricion moderada (m),2005-01-01,4,4,3,2,7,6,13
PADILLA,desnutricion global,desnutricion moderada (m),2005-01-01,8,10,14,11,22,21,43
PAILON,desnutricion global,desnutricion moderada (m),2005-01-01,0,7,2,0,2,7,9
PALCA,desnutricion global,desnutricion moderada (m),2005-01-01,18,4,15,3,33,7,40
PALOS BLANCOS,desnutricion global,desnutricion moderada (m),2005-01-01,13,9,5,8,18,17,35
PAMPA AULLAGAS,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,2,1,3,4
PAMPA GRANDE,desnutricion global,desnutricion moderada (m),2005-01-01,4,2,0,7,4,9,13
PAPEL PAMPA,desnutricion global,desnutricion moderada (m),2005-01-01,0,3,0,0,0,3,3
PASORAPA,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,1,1,3,3,6
PATACAMAYA,desnutricion global,desnutricion moderada (m),2005-01-01,9,11,3,9,12,20,32
PAZÑA,desnutricion global,desnutricion moderada (m),2005-01-01,1,2,2,0,3,2,5
PELECHUCO,desnutricion global,desnutricion moderada (m),2005-01-01,6,0,1,5,7,5,12
POCOATA,desnutricion global,desnutricion moderada (m),2005-01-01,20,19,16,19,36,38,74
POCONA,desnutricion global,desnutricion moderada (m),2005-01-01,6,0,1,3,7,3,10
POJO (CBBA),desnutricion global,desnutricion moderada (m),2005-01-01,2,9,2,4,4,13,17
PORCO,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,0,2,1,3
POROMA,desnutricion global,desnutricion moderada (m),2005-01-01,19,18,14,12,33,30,63
PORONGO,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
PORTACHUELO,desnutricion global,desnutricion moderada (m),2005-01-01,1,6,3,2,4,8,12
PORVENIR,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,0,1,0,1,1
POSTRER VALLE,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,0,1,0,1
POTOSI,desnutricion global,desnutricion moderada (m),2005-01-01,37,44,17,24,54,68,122
PRESTO,desnutricion global,desnutricion moderada (m),2005-01-01,13,6,7,5,20,11,31
PUCARANI,desnutricion global,desnutricion moderada (m),2005-01-01,9,3,1,0,10,3,13
PUERTO ACOSTA,desnutricion global,desnutricion moderada (m),2005-01-01,3,2,1,2,4,4,8
PUERTO CARABUCO,desnutricion global,desnutricion moderada (m),2005-01-01,3,6,5,9,8,15,23
PUERTO GONZALO MORENO,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,2,3,3,4,7
PUERTO PEREZ,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,2,0,2,0,2
PUERTO RICO,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,1,0,3,2,5
PUERTO VILLARROEL,desnutricion global,desnutricion moderada (m),2005-01-01,37,37,27,24,64,61,125
PUNA,desnutricion global,desnutricion moderada (m),2005-01-01,10,23,11,19,21,42,63
PUNATA,desnutricion global,desnutricion moderada (m),2005-01-01,6,5,1,3,7,8,15
QUIABAYA,desnutricion global,desnutricion moderada (m),2005-01-01,3,2,2,1,5,3,8
QUILLACOLLO,desnutricion global,desnutricion moderada (m),2005-01-01,10,8,9,4,19,12,31
QUIME,desnutricion global,desnutricion moderada (m),2005-01-01,11,4,11,4,22,8,30
RAVELO,desnutricion global,desnutricion moderada (m),2005-01-01,9,1,12,3,21,4,25
REYES,desnutricion global,desnutricion moderada (m),2005-01-01,5,3,7,6,12,9,21
RIBERALTA,desnutricion global,desnutricion moderada (m),2005-01-01,35,37,26,42,61,79,140
ROBORE,desnutricion global,desnutricion moderada (m),2005-01-01,0,11,7,0,7,11,18
RURRENABAQUE,desnutricion global,desnutricion moderada (m),2005-01-01,1,2,1,0,2,2,4
SACABA,desnutricion global,desnutricion moderada (m),2005-01-01,19,16,8,12,27,28,55
SACABAMBA,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,2,0,4,2,6
SAIPINA,desnutricion global,desnutricion moderada (m),2005-01-01,5,2,0,2,5,4,9
SALINAS DE GARCI MENDOZA,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,2,1,4,4,8
SAMAIPATA,desnutricion global,desnutricion moderada (m),2005-01-01,6,0,1,0,7,0,7
SAN ANDRES,desnutricion global,desnutricion moderada (m),2005-01-01,3,0,1,2,4,2,6
SAN ANDRES DE MACHACA,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,desnutricion global,desnutricion moderada (m),2005-01-01,10,7,11,20,21,27,48
SAN BENITO,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,0,2,1,3,4
SAN BORJA,desnutricion global,desnutricion moderada (m),2005-01-01,19,19,9,12,28,31,59
SAN BUENA VENTURA,desnutricion global,desnutricion moderada (m),2005-01-01,5,5,4,3,9,8,17
SAN CARLOS,desnutricion global,desnutricion moderada (m),2005-01-01,7,3,4,0,11,3,14
SAN IGNACIO,desnutricion global,desnutricion moderada (m),2005-01-01,18,9,12,6,30,15,45
SAN IGNACIO DE VELASCO,desnutricion global,desnutricion moderada (m),2005-01-01,45,35,26,35,71,70,141
SAN JAVIER(STC),desnutricion global,desnutricion moderada (m),2005-01-01,4,0,3,0,7,0,7
SAN JOAQUIN,desnutricion global,desnutricion moderada (m),2005-01-01,2,2,0,1,2,3,5
SAN JOSE DE CHIQUITOS,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,2,2,3,5
SAN JUAN DE YAPACANI,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,2,3,2,3,5
SAN JULIAN,desnutricion global,desnutricion moderada (m),2005-01-01,11,1,4,1,15,2,17
SAN LORENZO(PND),desnutricion global,desnutricion moderada (m),2005-01-01,0,2,1,0,1,2,3
SAN LORENZO(TJA),desnutricion global,desnutricion moderada (m),2005-01-01,7,9,7,10,14,19,33
SAN LUCAS,desnutricion global,desnutricion moderada (m),2005-01-01,87,62,48,87,135,149,284
SAN MIGUEL DE VELASCO,desnutricion global,desnutricion moderada (m),2005-01-01,6,8,3,8,9,16,25
SAN PABLO DE LIPEZ,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,1,2,3,2,5
SAN PEDRO,desnutricion global,desnutricion moderada (m),2005-01-01,9,8,5,6,14,14,28
SAN PEDRO DE BUENA VISTA,desnutricion global,desnutricion moderada (m),2005-01-01,12,19,13,16,25,35,60
SAN PEDRO DE CURAHUARA,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,1,2,2,4
SAN PEDRO(PND),desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
SAN RAFAEL,desnutricion global,desnutricion moderada (m),2005-01-01,4,3,3,3,7,6,13
SAN RAMON,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,0,0,2,0,2
SAN RAMON,desnutricion global,desnutricion moderada (m),2005-01-01,7,0,5,0,12,0,12
SANTA ANA,desnutricion global,desnutricion moderada (m),2005-01-01,7,3,1,2,8,5,13
SANTA CRUZ DE LA SIERRA,desnutricion global,desnutricion moderada (m),2005-01-01,352,203,116,100,468,303,771
SANTA ROSA,desnutricion global,desnutricion moderada (m),2005-01-01,1,4,0,2,1,6,7
SANTA ROSA DEL SARA,desnutricion global,desnutricion moderada (m),2005-01-01,4,3,1,3,5,6,11
SANTIAGO DE CALLAPA,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,1,1,1,2
SANTIAGO DE HUARI,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
SANTIAGO DE MACHACA,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,0,1,0,1,1
SANTIVAÑES,desnutricion global,desnutricion moderada (m),2005-01-01,3,1,2,0,5,1,6
SANTUARIO DE QUILLACAS,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,0,1,0,1,1
SAPAHAQUI,desnutricion global,desnutricion moderada (m),2005-01-01,6,3,0,4,6,7,13
SENA,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,0,0,1,1,2
SICA SICA (VILLA AROMA),desnutricion global,desnutricion moderada (m),2005-01-01,14,13,18,7,32,20,52
SICAYA,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,4,0,6,1,7
SIPE SIPE,desnutricion global,desnutricion moderada (m),2005-01-01,6,12,7,8,13,20,33
SOPACHUY,desnutricion global,desnutricion moderada (m),2005-01-01,6,13,8,14,14,27,41
SORACACHI,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,1,1,3,2,5
SORATA,desnutricion global,desnutricion moderada (m),2005-01-01,4,8,6,12,10,20,30
SUCRE,desnutricion global,desnutricion moderada (m),2005-01-01,32,22,28,23,60,45,105
TACACHI,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,0,0,1,1,2
TACACOMA,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,1,1,1,2
TACOBAMBA,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,2,1,2,3
TACOPAYA,desnutricion global,desnutricion moderada (m),2005-01-01,5,6,1,1,6,7,13
TAPACARI,desnutricion global,desnutricion moderada (m),2005-01-01,16,12,15,11,31,23,54
TARABUCO,desnutricion global,desnutricion moderada (m),2005-01-01,47,32,49,75,96,107,203
TARACO,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,1,0,2,0,2
TARATA,desnutricion global,desnutricion moderada (m),2005-01-01,6,5,2,1,8,6,14
TARIJA,desnutricion global,desnutricion moderada (m),2005-01-01,28,25,19,23,47,48,95
TARVITA,desnutricion global,desnutricion moderada (m),2005-01-01,23,15,25,26,48,41,89
TEOPONTE,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,0,1,1,2
TIAWANACU,desnutricion global,desnutricion moderada (m),2005-01-01,2,0,1,0,3,0,3
TINGUIPAYA,desnutricion global,desnutricion moderada (m),2005-01-01,13,9,6,7,19,16,35
TIPUANI,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,1,0,2,1,3
TIQUIPAYA,desnutricion global,desnutricion moderada (m),2005-01-01,10,6,4,2,14,8,22
TIRAQUE (CBBA),desnutricion global,desnutricion moderada (m),2005-01-01,28,27,11,16,39,43,82
TITO YUPANQUI (PARQUIPUJIO),desnutricion global,desnutricion moderada (m),2005-01-01,1,1,0,0,1,1,2
TOCO,desnutricion global,desnutricion moderada (m),2005-01-01,6,0,2,3,8,3,11
TOLEDO,desnutricion global,desnutricion moderada (m),2005-01-01,3,1,0,0,3,1,4
TOMAVE,desnutricion global,desnutricion moderada (m),2005-01-01,4,0,0,0,4,0,4
TOMINA,desnutricion global,desnutricion moderada (m),2005-01-01,19,15,20,34,39,49,88
TORO TORO,desnutricion global,desnutricion moderada (m),2005-01-01,5,5,3,3,8,8,16
TOTORA(CBBA),desnutricion global,desnutricion moderada (m),2005-01-01,7,5,4,2,11,7,18
TOTORA(ORR),desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,0,1,1,2
TRINIDAD,desnutricion global,desnutricion moderada (m),2005-01-01,38,36,9,16,47,52,99
TUPIZA,desnutricion global,desnutricion moderada (m),2005-01-01,17,8,6,14,23,22,45
TURCO,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
UNCIA,desnutricion global,desnutricion moderada (m),2005-01-01,24,14,8,15,32,29,61
URIONDO (A. CONCEPCION),desnutricion global,desnutricion moderada (m),2005-01-01,2,4,8,10,10,14,24
UYUNI,desnutricion global,desnutricion moderada (m),2005-01-01,4,1,7,1,11,2,13
VACAS,desnutricion global,desnutricion moderada (m),2005-01-01,14,10,5,2,19,12,31
VALLEGRANDE,desnutricion global,desnutricion moderada (m),2005-01-01,5,1,10,1,15,2,17
VIACHA,desnutricion global,desnutricion moderada (m),2005-01-01,26,13,6,13,32,26,58
VILA VILA,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,5,1,7,2,9
VILLA MONTES,desnutricion global,desnutricion moderada (m),2005-01-01,17,13,15,8,32,21,53
VILLA RIVERO,desnutricion global,desnutricion moderada (m),2005-01-01,4,4,2,3,6,7,13
VILLA SERRANO,desnutricion global,desnutricion moderada (m),2005-01-01,9,8,10,13,19,21,40
VILLA TUNARI,desnutricion global,desnutricion moderada (m),2005-01-01,14,32,21,24,35,56,91
VILLA VACA GUZMAN (MUYUPAMPA),desnutricion global,desnutricion moderada (m),2005-01-01,3,5,5,6,8,11,19
VILLAZON,desnutricion global,desnutricion moderada (m),2005-01-01,12,7,6,14,18,21,39
VINTO,desnutricion global,desnutricion moderada (m),2005-01-01,9,0,7,0,16,0,16
VITICHI,desnutricion global,desnutricion moderada (m),2005-01-01,13,5,8,11,21,16,37
WALDO BALLIVIAN,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,0,0,0,1,1
