municipality,group,variable,month,Nevada,Nevada1,Nevada2,TOTAL
BETANZOS,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,0.0,0.0,1.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,35.0,0.0,36.0
CARIPUYO,eventos - notificacion inmediata parte i,granizo,2024-01-01,2.0,140.0,0.0,142.0
CHALLAPATA,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,160.0,0.0,161.0
CHUMA,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,76.0,0.0,77.0
COTAGAITA,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,68.0,0.0,69.0
LAGUNILLAS,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,20.0,0.0,21.0
LAS CARRERAS,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,380.0,0.0,381.0
SACACA,eventos - notificacion inmediata parte i,granizo,2024-01-01,3.0,0.0,0.0,3.0
SAN LUCAS,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,200.0,0.0,201.0
YAMPARAEZ,eventos - notificacion inmediata parte i,granizo,2024-01-01,2.0,117.0,0.0,119.0
YOTALA,eventos - notificacion inmediata parte i,granizo,2024-01-01,1.0,20.0,0.0,21.0
AZURDUY,eventos - notificacion inmediata parte i,granizo,2024-02-01,1.0,32.0,0.0,33.0
CARIPUYO,eventos - notificacion inmediata parte i,granizo,2024-02-01,1.0,50.0,0.0,51.0
"COLCHA ""K""",eventos - notificacion inmediata parte i,granizo,2024-02-01,1.0,20.0,0.0,21.0
RAQAYPAMPA(ETA),eventos - notificacion inmediata parte i,granizo,2024-02-01,1.0,124.0,0.0,125.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,granizo,2024-03-01,1.0,54.0,0.0,55.0
POROMA,eventos - notificacion inmediata parte i,granizo,2024-03-01,1.0,45.0,0.0,46.0
PRESTO,eventos - notificacion inmediata parte i,granizo,2024-03-01,3.0,41.0,0.0,44.0
SAN LUCAS,eventos - notificacion inmediata parte i,granizo,2024-03-01,2.0,284.0,0.0,286.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte i,granizo,2024-03-01,3.0,30.0,0.0,33.0
TARABUCO,eventos - notificacion inmediata parte i,granizo,2024-03-01,1.0,0.0,0.0,1.0
TORO TORO,eventos - notificacion inmediata parte i,granizo,2024-03-01,1.0,30.0,0.0,31.0
TUPIZA,eventos - notificacion inmediata parte i,granizo,2024-03-01,1.0,12.0,0.0,13.0
LAJA,eventos - notificacion inmediata parte i,granizo,2024-04-01,50.0,0.0,0.0,50.0
SUCRE,eventos - notificacion inmediata parte i,granizo,2024-04-01,1.0,12.0,0.0,13.0
BERMEJO,eventos - notificacion inmediata parte i,granizo,2024-07-01,1.0,16.0,0.0,17.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,granizo,2024-07-01,6.0,806.0,0.0,812.0
SAN LUCAS,eventos - notificacion inmediata parte i,granizo,2024-09-01,1.0,216.0,0.0,217.0
ALALAY,eventos - notificacion inmediata parte i,granizo,2024-10-01,2.0,0.0,0.0,2.0
CAMARGO,eventos - notificacion inmediata parte i,granizo,2024-10-01,6.0,1016.0,0.0,1022.0
CULPINA,eventos - notificacion inmediata parte i,granizo,2024-10-01,3.0,507.0,0.0,510.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,granizo,2024-10-01,1.0,0.0,0.0,1.0
INCAHUASI,eventos - notificacion inmediata parte i,granizo,2024-10-01,1.0,132.0,0.0,133.0
LAS CARRERAS,eventos - notificacion inmediata parte i,granizo,2024-10-01,3.0,245.0,0.0,248.0
PADILLA,eventos - notificacion inmediata parte i,granizo,2024-10-01,1.0,335.0,0.0,336.0
PRESTO,eventos - notificacion inmediata parte i,granizo,2024-10-01,2.0,218.0,0.0,220.0
SAN LUCAS,eventos - notificacion inmediata parte i,granizo,2024-10-01,6.0,783.0,0.0,789.0
TUPIZA,eventos - notificacion inmediata parte i,granizo,2024-10-01,2.0,27.0,0.0,29.0
URIONDO (A. CONCEPCION),eventos - notificacion inmediata parte i,granizo,2024-10-01,2.0,530.0,0.0,532.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,granizo,2024-10-01,1.0,35.0,0.0,36.0
VILLAZON,eventos - notificacion inmediata parte i,granizo,2024-10-01,2.0,177.0,0.0,179.0
YAMPARAEZ,eventos - notificacion inmediata parte i,granizo,2024-10-01,1.0,121.0,0.0,122.0
ALALAY,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,0.0,0.0,1.0
ANZALDO,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,9.0,0.0,10.0
ARQUE,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,0.0,0.0,1.0
COTAGAITA,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,25.0,0.0,26.0
INCAHUASI,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,150.0,0.0,151.0
SAN LUCAS,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,30.0,0.0,31.0
TUPIZA,eventos - notificacion inmediata parte i,granizo,2024-11-01,1.0,122.0,0.0,123.0
ALALAY,eventos - notificacion inmediata parte i,granizo,2024-12-01,2.0,0.0,0.0,2.0
CAMARGO,eventos - notificacion inmediata parte i,granizo,2024-12-01,1.0,12.0,0.0,13.0
CARIPUYO,eventos - notificacion inmediata parte i,granizo,2024-12-01,1.0,23.0,0.0,24.0
CULPINA,eventos - notificacion inmediata parte i,granizo,2024-12-01,1.0,26.0,0.0,27.0
PUNA,eventos - notificacion inmediata parte i,granizo,2024-12-01,1.0,0.0,0.0,1.0
